,T_BTES_final6
1616,24.63093132
1617,24.62307291
1618,24.61498271
1619,24.60719433
1620,24.5973543
1621,24.58791909
1622,24.57906606
1623,24.57066008
1624,24.56361628
1625,24.55619735
1626,24.54971508
1627,24.54428338
1628,24.53829937
1629,24.53266641
1630,24.52591461
1631,24.51983166
1632,24.51514574
1633,24.51086423
1634,24.50819753
1635,24.50545677
1636,24.50174819
1637,24.49719545
1638,24.49345853
1639,24.49321226
1640,24.48975631
1641,24.48539987
1642,24.4803115
1643,24.47615776
1644,24.47330951
1645,24.47129556
1646,24.46827925
1647,24.46447421
1648,24.46147149
1649,24.45957386
1650,24.45814492
1651,24.4565198
1652,24.45428972
1653,24.45156559
1654,24.44805082
1655,24.44404422
1656,24.44239487
1657,24.4403411
1658,24.43753181
1659,24.43392213
1660,24.43157053
1661,24.42871164
1662,24.42893495
1663,24.43123435
1664,24.43291841
1665,24.43683935
1666,24.43621264
1667,24.4327156
1668,24.42892912
1669,24.42661222
1670,24.42346622
1671,24.42036557
1672,24.41796915
1673,24.41627072
1674,24.41376833
1675,24.4114684
1676,24.40918914
1677,24.40602037
1678,24.40253503
1679,24.40006481
1680,24.39854924
1681,24.39547358
1682,24.39182717
1683,24.38602568
1684,24.38058683
1685,24.37575768
1686,24.37202471
1687,24.36719594
1688,24.36365509
1689,24.35863657
1690,24.35314605
1691,24.34746107
1692,24.342768
1693,24.33925723
1694,24.33722664
1695,24.33583138
1696,24.33676232
1697,24.33777037
1698,24.33859522
1699,24.33587685
1700,24.43269364
1701,24.5308723
1702,24.62742355
1703,24.72270332
1704,24.81845433
1705,24.91601645
1706,25.01260251
1707,25.1070193
1708,25.20108239
1709,25.29504566
1710,25.38824329
1711,25.48172802
1712,25.5765268
1713,25.67387873
1714,25.7721344
1715,25.8678153
1716,25.96315776
1717,26.06057736
1718,26.15721701
1719,26.251141
1720,26.34482485
1721,26.44030723
1722,26.535496
1723,26.63281637
1724,26.7299696
1725,26.82585639
1726,26.92299179
1727,27.01984064
1728,27.11677978
1729,27.21177895
1730,27.3072613
1731,27.40379143
1732,27.49860955
1733,27.59368136
1734,27.68370152
1735,27.77490353
1736,27.86826237
1737,27.96134887
1738,28.05531881
1739,28.14884636
1740,28.24211263
1741,28.33412372
1742,28.42737125
1743,28.52252031
1744,28.61468678
1745,28.70764427
1746,28.79955002
1747,28.89130847
1748,28.9834104
1749,29.07427995
1750,29.16639054
1751,29.25717428
1752,29.34709261
1753,29.43822037
1754,29.5280579
1755,29.61914512
1756,29.71078909
1757,29.80446966
1758,29.89750851
1759,29.98528283
1760,30.07243823
1761,30.16096578
1762,30.24966923
1763,30.33881269
1764,30.43284995
1765,30.52417378
1766,30.6136049
1767,30.70329461
1768,30.79345605
1769,30.88084941
1770,30.968501
1771,30
1772,30
1773,30
1774,30
1775,30
1776,30
1777,30
1778,30
1779,30
1780,30
1781,30
1782,30
1783,30
1784,30
1785,30
1786,30
1787,30
1788,30
1789,30
1790,30
1791,30
1792,30
1793,30
1794,30
1795,30
1796,30
1797,30
1798,30
1799,30
1800,30
1801,30
1802,30
1803,30
1804,30
1805,30
1806,30
1807,30
1808,30
1809,30
1810,30
1811,30
1812,30
1813,30
1814,30
1815,30
1816,30
1817,30
1818,30
1819,30
1820,30
1821,30
1822,30
1823,30
1824,30
1825,30
1826,30
1827,30
1828,30
1829,30
1830,30
1831,30
1832,30
1833,30
1834,30
1835,30
1836,30
1837,30
1838,30
1839,30
1840,30
1841,30
1842,30
1843,30
1844,30
1845,30
1846,30
1847,30
1848,30
1849,30
1850,30
1851,30
1852,30
1853,30
1854,30
1855,30
1856,30
1857,30
1858,30
1859,30
1860,30
1861,30
1862,30
1863,30
