,Temp_out_BTES,Temp_into_BTES,,,,,
159,26.50995845,16.50995845, [ 1.48299915e+01],, [ 1.09526437e+11],,39.35901054
160,26.40392359,16.40392359, [ 1.47185088e+01],, [ 1.06165235e+11],,39.36653712
161,26.30225104,16.30225104, [ 1.46116025e+01],, [ 1.01983034e+11],,39.37622544
162,26.20685207,16.20685207, [ 1.45111712e+01],, [ 9.79725184e+10],,39.38902489
163,26.11627041,16.11627041, [ 1.44157483e+01],, [ 9.42049025e+10],,39.40420259
164,26.04036738,16.04036738, [ 1.43351656e+01],, [ 9.06251787e+10],,39.42667458
165,25.96042202,15.96042202, [ 1.42507098e+01],, [ 8.76021722e+10],,39.44708449
166,25.89056994,15.89056994, [ 1.41764960e+01],, [ 8.44338693e+10],,39.47249013
167,25.83203869,15.83203869, [ 1.41137288e+01],, [ 8.16497886e+10],,39.50349405
168,25.76755586,15.76755586, [ 1.40451475e+01],, [ 7.92951200e+10],,39.53146612
169,25.70685583,15.70685583, [ 1.39804786e+01],, [ 7.67223375e+10],,39.56126987
170,25.63409933,15.63409933, [ 1.39039066e+01],, [ 7.42963261e+10],,39.58499783
171,25.56855035,15.56855035, [ 1.38346809e+01],, [ 7.14237810e+10],,39.61227489
172,25.51805553,15.51805553, [ 1.37806177e+01],, [ 6.88268255e+10],,39.64700943
173,25.47191856,15.47191856, [ 1.37310118e+01],, [ 6.67986811e+10],,39.68384905
174,25.44318256,15.44318256, [ 1.36988713e+01],, [ 6.49377477e+10],,39.72929809
175,25.41364847,15.41364847, [ 1.36659985e+01],, [ 6.37320165e+10],,39.77425798
176,25.37368532,15.37368532, [ 1.36227833e+01],, [ 6.24988170e+10],,39.81392385
177,25.32462568,15.32462568, [ 1.35705762e+01],, [ 6.08776269e+10],,39.84897124
178,25.28435716,15.28435716, [ 1.35272471e+01],, [ 5.89191129e+10],,39.8883353
179,25.28170336,15.28170336, [ 1.35215441e+01],, [ 5.72936495e+10],,39.94639038
