,T_BTES_5
1662,69.85964257128873
1663,69.86194197026398
1664,69.86362602598822
1665,69.86754697165823
1666,69.86692026312923
1667,69.86342321975175
1668,69.85963673811675
1669,69.85731983962387
1670,69.8541738403321
1671,69.85107318925247
1672,69.84867677144672
1673,69.846978339775
1674,69.84447594639624
1675,69.84217602055372
1676,69.83989675543194
1677,69.83672798795041
1678,69.83324264855115
1679,69.8307724317043
1680,69.82925686058259
1681,69.82618119806156
1682,69.82253478783394
1683,69.81673330260735
1684,69.81129445254831
1685,69.80646530073534
1686,69.80273233375432
1687,69.79790355827114
1688,69.7943627096495
1689,69.7893441867094
1690,69.78385366603115
1691,69.77816869372232
1692,69.77347562417697
1693,69.76996484461907
1694,69.76793426081358
1695,69.7665390035794
1696,69.76746994028088
1697,69.76847798775977
1698,69.769302835988
1699,69.76658446469214
1700,69.94470352028844
1701,70.12418445232055
1702,70.3020379668517
1703,70.47862000030699
1704,70.65567327883659
1705,70.83453766334996
1706,71.01242598874975
1707,71.18814505137057
1708,71.36351039793723
1709,71.53877594080222
1710,71.71327583273472
1711,71.88806282965228
1712,72.06416387099091
1713,72.24281807312664
1714,72.42237600303596
1715,72.59935917059443
1716,72.77600390124795
1717,72.95472576818469
1718,73.13266768350442
1719,73.30789393713098
1720,73.48288005221806
1721,73.65966470374494
1722,73.83615573970789
1723,74.01477836744489
1724,74.19323386538026
1725,74.37042292511279
1726,74.5488605848299
1727,74.72701170406089
1728,74.90525310575075
1729,75.08155454479126
1730,75.25833915868344
1731,75.43617156089383
1732,75.61229194578695
1733,75.78866601723297
1734,75.95998844837567
1735,76.13249271790365
1736,76.30715383119512
1737,76.48154259178223
1738,76.65681479575626
1739,76.8316446194533
1740,77.00621315465536
1741,77.17952650402893
1742,77.35407629781014
1743,77.53052763056593
1744,77.70399636812695
1745,77.87825612151569
1746,78.05146413508498
1747,78.22452485163849
1748,78.39792904796991
1749,78.570100864299
1750,78.74351371630529
1751,78.91559972854527
1752,79.08682032378576
1753,79.2592503426722
1754,79.4303901390619
1755,79.60277962680793
1756,79.77572586264418
1757,79.95070870362876
1758,80.12504982036727
1759,80.29412640481993
1760,80.4625840708527
1761,80.63241388723092
1762,80.80241960198373
1763,80.97286532611363
1764,81.14820485619016
1765,81.32083094493893
1766,81.49156433855714
1767,81.66255631106675
1768,81.83402001788454
1769,82.00271563972181
1770,82.1716695017511
1771,82.33966740088775
1772,82.50680311949273
1773,82.6758123025778
1774,82.84466876944427
1775,83.01292825814483
1776,83.18140346132692
1777,83.34916844753208
1778,83.51801569422045
1779,83.68591314989135
1780,83.85421196546503
1781,84.0215544041773
1782,84.18839349655015
1783,84.3563560955843
1784,84.52395207031925
1785,84.69418885397218
1786,84.8649044093721
1787,85.03568710270538
1788,85.2081119281886
1789,85.38087409920925
1790,85.36927854253322
1791,85.35659624699994
1792,85.33945778399298
1793,85.32159028732313
1794,85.30424563107742
1795,85.28619813399298
1796,85.26969654052404
1797,85.25311192783886
1798,85.23899805886863
1799,85.22873611596776
1800,85.21664583099677
1801,85.20450323563821
1802,85.18991849792775
1803,85.1767197972755
1804,85.1610844863782
1805,85.14662604626255
1806,85.13195019815997
1807,85.1170579581771
1808,85.10285760771902
1809,85.08857995831647
1810,85.07363179514417
1811,85.06030566789919
1812,85.05020995159563
1813,85.03685985189186
1814,85.02428925220293
1815,85.0110997717288
1816,84.99804663695652
1817,84.98607026819955
1818,84.97029672993006
1819,84.95686391207904
1820,84.94273096298856
1821,84.93027706438659
1822,84.91598906580803
1823,84.90141185477452
1824,84.88835612329852
1825,84.87451569840447
1826,84.85615426373818
1827,84.83748656869719
1828,84.81727387323907
1829,84.7986912672495
1830,84.78267081643169
1831,84.76944080481714
1832,84.75414886079797
1833,84.73633073910828
1834,84.7189204878959
1835,84.70397044305331
1836,84.69091674378208
1837,84.67930447788996
1838,84.66464236596993
1839,84.65093749647919
1840,84.6374619271181
1841,84.61964779456859
